evaporationRates,maxIteration,alpha,beta,Q,epsilon,method,AverageFitness
0.3000,50,1.0000,2.0000,100.0000,3.0000,3,294.0000
0.3000,50,1.0000,2.0000,100.0000,5.0000,1,291.2000
0.3000,50,1.0000,2.0000,100.0000,5.0000,2,292.6000
0.3000,50,1.0000,2.0000,100.0000,5.0000,3,301.1500
0.3000,50,1.0000,2.0000,100.0000,10.0000,1,291.0000
0.3000,50,1.0000,2.0000,100.0000,10.0000,2,293.0000
0.3000,50,1.0000,2.0000,100.0000,10.0000,3,296.0500
0.3000,50,1.0000,5.0000,10.0000,3.0000,1,291.0000
0.3000,50,1.0000,5.0000,10.0000,3.0000,2,291.0000
0.3000,50,1.0000,5.0000,10.0000,3.0000,3,291.0000
0.3000,50,1.0000,5.0000,10.0000,5.0000,1,291.0000
0.3000,50,1.0000,5.0000,10.0000,5.0000,2,291.0000
0.3000,50,1.0000,5.0000,10.0000,5.0000,3,291.0000
0.3000,50,1.0000,5.0000,10.0000,10.0000,1,291.0000
0.3000,50,1.0000,5.0000,10.0000,10.0000,2,291.0000
0.3000,50,1.0000,5.0000,10.0000,10.0000,3,291.0000
0.3000,50,1.0000,5.0000,100.0000,3.0000,1,291.0000
0.3000,50,1.0000,5.0000,100.0000,3.0000,2,291.0000
0.3000,50,1.0000,5.0000,100.0000,3.0000,3,291.0000
0.3000,50,1.0000,5.0000,100.0000,5.0000,1,291.0000
0.3000,50,1.0000,5.0000,100.0000,5.0000,2,291.0000
0.3000,50,1.0000,5.0000,100.0000,5.0000,3,291.4000
0.3000,50,1.0000,5.0000,100.0000,10.0000,1,291.0000
0.3000,50,1.0000,5.0000,100.0000,10.0000,2,291.0000
0.3000,50,1.0000,5.0000,100.0000,10.0000,3,291.0000
0.3000,50,2.5000,1.0000,10.0000,3.0000,1,319.3500
0.3000,50,2.5000,1.0000,10.0000,3.0000,2,340.5500
0.3000,50,2.5000,1.0000,10.0000,3.0000,3,322.0500
0.3000,50,2.5000,1.0000,10.0000,5.0000,1,316.6500
0.3000,50,2.5000,1.0000,10.0000,5.0000,2,343.5000
0.3000,50,2.5000,1.0000,10.0000,5.0000,3,323.9500
0.3000,50,2.5000,1.0000,10.0000,10.0000,1,318.0500
0.3000,50,2.5000,1.0000,10.0000,10.0000,2,367.2000
0.3000,50,2.5000,1.0000,10.0000,10.0000,3,318.4500
0.3000,50,2.5000,1.0000,100.0000,3.0000,1,341.1500
